hidden,lr,lr_decay,activation,init_type,w_scale,est_CE,val_CE
10,0.05,0.0,tanh,uniform,0.1,[0.0290625],0.018125
10,0.05,0.01,tanh,uniform,0.1,[0.03375],0.02125
10,0.05,0.05,tanh,uniform,0.1,[0.0221875],0.01375
10,0.05,0.0,tanh,sparse,0.01,[0.03828125],0.025625
10,0.05,0.01,tanh,sparse,0.01,[0.1271875],0.088125
10,0.05,0.05,tanh,sparse,0.01,[0.08578125],0.07125
10,0.05,0.0,tanh,sparse,0.1,[0.05671875],0.049375
10,0.05,0.01,tanh,sparse,0.1,[0.13015625],0.095625
10,0.05,0.05,tanh,sparse,0.1,[0.2959375],0.29625
10,0.05,0.0,relu,gaussian,0.01,[0.0703125],0.065
10,0.05,0.01,relu,gaussian,0.01,[0.04484375],0.03875
10,0.05,0.05,relu,gaussian,0.01,[0.02125],0.013125
10,0.05,0.0,relu,gaussian,0.1,[0.0471875],0.0325
10,0.05,0.01,relu,gaussian,0.1,[0.04546875],0.02875
10,0.05,0.05,relu,gaussian,0.1,[0.0265625],0.02
10,0.05,0.0,relu,uniform,0.01,[0.05546875],0.0275
10,0.05,0.01,relu,uniform,0.01,[0.0415625],0.02375
10,0.05,0.05,relu,uniform,0.01,[0.03890625],0.031875
10,0.05,0.0,relu,uniform,0.1,[0.0453125],0.03125
10,0.05,0.01,relu,uniform,0.1,[0.043125],0.025625
10,0.05,0.05,relu,uniform,0.1,[0.0321875],0.02
10,0.05,0.0,relu,sparse,0.01,[0.42234375],0.299375
10,0.05,0.01,relu,sparse,0.01,[0.4725],0.4
10,0.05,0.05,relu,sparse,0.01,[0.13875],0.098125
10,0.05,0.0,relu,sparse,0.1,[0.29671875],0.29625
10,0.05,0.01,relu,sparse,0.1,[0.089375],0.0625
10,0.05,0.05,relu,sparse,0.1,[0.04515625],0.033125
20,0.01,0.0,logsig,gaussian,0.01,[0.02],0.0225
20,0.01,0.01,logsig,gaussian,0.01,[0.03296875],0.033125
20,0.01,0.05,logsig,gaussian,0.01,[0.03765625],0.038125
20,0.01,0.0,logsig,gaussian,0.1,[0.023125],0.02375
20,0.01,0.01,logsig,gaussian,0.1,[0.0296875],0.0275
20,0.01,0.05,logsig,gaussian,0.1,[0.03484375],0.034375
20,0.01,0.0,logsig,uniform,0.01,[0.0209375],0.02
20,0.01,0.01,logsig,uniform,0.01,[0.0371875],0.038125
20,0.01,0.05,logsig,uniform,0.01,[0.0328125],0.033125
20,0.01,0.0,logsig,uniform,0.1,[0.0225],0.0225
20,0.01,0.01,logsig,uniform,0.1,[0.03265625],0.0325
20,0.01,0.05,logsig,uniform,0.1,[0.03671875],0.035
20,0.01,0.0,logsig,sparse,0.01,[0.02203125],0.020625
